Product_ID,Product_Name,Category,Stock_Quantity,Unit_Price,Last_Updated
PROD_1776358817,Milk,Perishables,50,28,16-04-2026
PROD_1776358817,Curd,Perishables,50,45,16-04-2026
PROD_1776358817,Paneer,Perishables,50,280,16-04-2026
PROD_1776358817,Bread,Perishables,40,35,17-04-2026
PROD_1776358817,Eggs,Perishables,30,45,19-04-2026
PROD_1776358817,Rice,Non-Perishables,50,65,16-04-2026
PROD_1776358817,Wheat Flour,Non-Perishables,50,45,16-04-2026
PROD_1776358817,Oil,Non-Perishables,50,160,16-04-2026
PROD_1776358817,Sugar,Non-Perishables,50,50,16-04-2026
PROD_1776358817,Salt,Non-Perishables,50,20,16-04-2026
PROD_1776358817,Biscuits,Snacks & Biscuits,46,40,17-04-2026
PROD_1776358817,Chips,Snacks & Biscuits,50,50,16-04-2026
PROD_1776358817,Namkeen,Snacks & Biscuits,50,80,16-04-2026
PROD_1776358817,Chocolate,Snacks & Biscuits,0,60,17-04-2026
PROD_1776358817,Cookies,Snacks & Biscuits,50,50,16-04-2026
PROD_1776358817,Tea,Beverages,50,250,16-04-2026
PROD_1776358817,Coffee,Beverages,50,180,16-04-2026
PROD_1776358817,Juice,Beverages,50,80,16-04-2026
PROD_1776358817,Soft Drinks,Beverages,50,45,16-04-2026
